job_state,job_region,Sector,Company_Age,Avg_Company_Size,Job_Title,Avg_Salary,Max_Salary,Usr_Rating,Python_y_n,R_y_n,Spark_y_n,AWS_y_n,Excel_y_n
CA,West,Aerospace & Defense,81,10000,Data Scientist,173.0,211,3.7,1,0,0,0,0
AZ,Southwest,Biotech & Pharmaceuticals,23,750,Data Engineer,68.5,80,3.5,1,0,1,0,0
NY,Northeast,Finance,19,3000,Data Scientist,172.0,215,4.4,0,0,0,0,0
MA,Northeast,Insurance,108,10000,Data Scientist,114.5,143,3.3,1,0,0,0,0
MD,Northeast,Biotech & Pharmaceuticals,107,10000,Research Scientist,95.0,127,3.9,0,0,0,0,0
MA,Northeast,Government,62,7500,Data Scientist,69.5,89,3.2,1,0,0,0,1
NY,Northeast,Business Services,17,750,Data Engineer,64.5,86,3.2,1,0,0,1,1
CA,West,Biotech & Pharmaceuticals,0,350,Research Scientist,111.5,149,2.1,0,0,0,0,1
NY,Northeast,Consumer Services,13,750,Data Scientist,97.5,124,4.0,1,0,0,0,1
MA,Northeast,Biotech & Pharmaceuticals,239,10000,Data Engineer,154.5,196,3.7,0,0,1,1,1
PA,Northeast,Education,36,750,Machine Learning Engineer,124.0,167,2.6,0,0,0,0,0
NY,Northeast,Health Care,9,350,Data Scientist,95.0,121,3.4,1,0,1,1,0
IL,Midwest,Business Services,12,350,Data Scientist,128.5,160,4.4,1,0,0,1,1
CA,West,Information Technology,14,750,Data Scientist,194.0,238,3.2,0,0,0,1,1
NY,Northeast,Business Services,15,350,Data Scientist,104.5,132,3.5,1,0,1,1,1
CO,West,Health Care,54,750,Research Scientist,31.5,78,3.7,0,0,0,0,0
NC,Southeast,Information Technology,12,350,Data Engineer,85.5,112,4.2,1,0,0,0,1
UT,West,Non-Profit,0,10000,Data Analyst,50.0,65,4.2,0,0,0,1,1
CA,West,Media,23,3000,Data Engineer,113.0,147,3.1,1,0,1,1,1
MA,Northeast,Biotech & Pharmaceuticals,190,10000,Research Scientist,90.5,119,3.9,0,0,0,1,0
CA,West,Information Technology,12,125,Data Scientist,153.0,187,4.3,1,0,1,0,1
CA,West,Business Services,32,3000,Data Analyst,123.5,157,3.3,0,0,0,0,1
NY,Northeast,Information Technology,10,350,Data Analyst,47.0,62,3.9,0,0,1,0,0
CA,West,Health Care,24,750,Data Scientist,64.0,86,3.5,0,0,0,0,0
CA,West,Information Technology,38,10000,Data Scientist,162.0,208,4.0,1,0,0,0,1
NY,Northeast,Biotech & Pharmaceuticals,107,10000,Data Scientist,137.0,172,3.9,1,0,0,0,0
TN,Southeast,Retail,62,10000,Data Engineer,98.0,127,3.0,1,0,0,0,0
NY,Northeast,Insurance,157,10000,Data Scientist,115.0,144,3.7,1,0,0,0,1
CO,West,Biotech & Pharmaceuticals,150,7500,Data Scientist,133.5,165,3.5,1,0,0,0,1
CO,West,Insurance,105,750,Data Engineer,99.0,124,4.0,1,0,0,1,0
WI,Midwest,Manufacturing,56,750,Research Scientist,54.0,68,3.3,0,0,0,0,0
TN,Southeast,Health Care,16,3000,Data Engineer,109.0,142,3.2,0,0,0,1,1
MD,Northeast,Information Technology,21,350,Data Engineer,109.0,142,3.4,0,0,0,1,0
MA,Northeast,Information Technology,36,3000,Data Scientist,139.5,171,4.4,1,0,0,0,0
IL,Midwest,Insurance,108,10000,Data Scientist,254.0,306,3.3,1,0,0,0,0
NY,Northeast,Information Technology,45,3000,Machine Learning Engineer,125.0,159,3.2,1,0,0,1,1
MA,Northeast,Biotech & Pharmaceuticals,24,10000,Data Scientist,106.5,133,3.8,1,0,0,0,0
CA,West,Biotech & Pharmaceuticals,8,350,Research Scientist,73.0,97,2.9,0,0,0,0,0
MD,Northeast,Biotech & Pharmaceuticals,59,350,Research Scientist,81.0,113,2.7,0,0,0,0,1
DE,Northeast,Health Care,85,3000,Research Scientist,27.5,68,3.6,0,0,0,0,0
NC,Southeast,Manufacturing,145,7500,Research Scientist,99.5,134,3.1,0,0,0,0,1
OH,Midwest,Insurance,31,750,Data Analyst,45.5,59,3.3,0,0,0,0,0
MA,Northeast,Insurance,168,7500,Data Analyst,54.0,69,3.7,0,0,0,0,0
IN,Midwest,Business Services,24,125,Data Engineer,122.5,158,4.5,1,0,1,1,0
FL,Southeast,Information Technology,43,3000,Data Analyst,37.5,48,3.0,0,0,0,0,1
NY,Northeast,Travel & Tourism,18,3000,Data Analyst,53.5,71,3.8,1,0,0,0,1
IL,Midwest,Finance,52,7500,Data Scientist,140.0,173,3.9,1,0,0,0,1
VA,Southeast,Government,62,7500,Data Scientist,77.5,99,3.2,0,0,0,0,0
MA,Northeast,"Construction, Repair & Maintenance",44,25,Research Scientist,26.5,56,3.3,0,0,0,0,1
NC,Southeast,Manufacturing,145,7500,Research Scientist,117.5,155,3.1,0,0,0,0,1
CA,West,Biotech & Pharmaceuticals,14,750,Research Scientist,70.5,98,2.4,0,0,0,0,0
NY,Northeast,Biotech & Pharmaceuticals,5,3000,Research Scientist,70.0,96,2.9,0,0,0,0,1
CA,West,Information Technology,9,125,Manager,61.5,78,4.8,0,0,0,0,1
GA,Southeast,Biotech & Pharmaceuticals,5,3000,Research Scientist,80.0,110,2.9,0,0,0,0,1
GA,Southeast,Information Technology,17,125,Data Scientist,79.5,99,4.7,1,0,0,0,1
CA,West,Information Technology,6,750,Data Scientist,168.0,206,4.7,1,0,0,0,1
MA,Northeast,Insurance,32,3000,Data Engineer,90.0,119,3.4,0,0,1,0,1
MA,Northeast,Biotech & Pharmaceuticals,0,0,Research Scientist,120.0,140,0.0,0,0,0,0,1
CA,West,Information Technology,12,125,Data Analyst,138.5,178,3.9,1,0,0,0,0
PA,Northeast,Biotech & Pharmaceuticals,3,10000,Data Scientist,111.5,137,3.6,0,0,0,0,0
MA,Northeast,Insurance,169,7500,Data Scientist,68.5,100,3.6,0,0,0,0,1
MA,Northeast,Biotech & Pharmaceuticals,190,10000,Research Scientist,84.5,111,3.9,0,0,0,1,0
TN,Southeast,Information Technology,14,3000,Data Engineer,102.5,133,4.4,1,0,1,1,0
PA,Northeast,Education,36,750,Research Scientist,73.5,91,2.6,0,0,0,0,1
OH,Midwest,Government,53,750,Research Scientist,93.5,126,3.6,1,0,0,0,0
PA,Northeast,Business Services,0,25,Data Scientist,127.5,160,3.2,0,0,0,0,1
UT,West,Non-Profit,0,10000,Data Analyst,72.0,91,4.2,0,0,0,0,0
MA,Northeast,Insurance,169,7500,Research Scientist,129.5,158,3.6,1,0,1,1,1
UT,West,Manufacturing,43,3000,Data Analyst,47.0,61,3.1,1,0,0,0,1
AL,Southeast,Consumer Services,6,750,Data Engineer,65.0,86,3.8,1,0,1,1,1
WI,Midwest,Finance,150,3000,Data Analyst,60.0,77,3.8,0,0,0,1,1
NY,Northeast,Biotech & Pharmaceuticals,171,10000,Data Scientist,167.5,210,4.0,0,0,0,1,1
NY,Northeast,Travel & Tourism,18,3000,Data Analyst,65.0,86,3.8,0,0,0,0,1
VA,Southeast,Information Technology,8,750,Data Analyst,94.0,119,4.0,1,0,0,0,0
NY,Northeast,Retail,10,350,Data Analyst,87.5,110,1.9,1,0,0,0,1
VA,Southeast,Information Technology,8,750,Data Engineer,97.0,127,4.0,1,0,1,1,0
NC,Southeast,Information Technology,30,7500,Data Engineer,112.5,147,4.3,1,0,1,1,0
MA,Northeast,Insurance,169,7500,Research Scientist,91.5,117,3.6,0,0,1,1,1
IN,Midwest,Insurance,108,10000,Data Engineer,51.5,66,3.3,1,0,0,0,1
MA,Northeast,Biotech & Pharmaceuticals,24,10000,Data Scientist,114.5,143,3.8,0,0,0,0,0
NY,Northeast,Business Services,9,350,Data Scientist,115.0,146,4.3,1,0,1,1,0
PA,Northeast,Business Services,0,25,Manager,74.0,98,3.2,1,0,0,1,0
CA,West,Business Services,48,125,Research Scientist,51.0,64,4.7,0,0,0,0,1
AZ,Southwest,Health Care,39,750,Data Engineer,100.0,110,3.4,0,0,0,0,0
MA,Northeast,Biotech & Pharmaceuticals,24,10000,Data Scientist,121.0,150,3.8,0,0,0,0,0
CA,West,Information Technology,14,350,Data Scientist,121.5,153,4.5,0,0,0,0,0
MA,Northeast,Finance,164,10000,Data Scientist,62.5,82,3.1,1,0,0,0,1
MA,Northeast,Biotech & Pharmaceuticals,0,0,Research Scientist,117.5,135,0.0,0,0,0,0,1
FL,Southeast,Information Technology,8,350,Data Scientist,122.0,151,3.9,1,0,0,1,0
VA,Southeast,Information Technology,16,125,Data Engineer,85.0,109,4.4,1,0,1,1,0
AZ,Southwest,Information Technology,18,750,Data Engineer,60.5,79,3.4,1,0,1,1,0
CA,West,Finance,11,125,Data Scientist,180.0,221,3.9,1,0,0,0,1
MO,Midwest,Finance,18,3000,Research Scientist,70.5,101,4.7,0,0,1,0,1
VA,Southeast,Aerospace & Defense,3,3000,Data Engineer,118.5,153,3.3,1,0,1,0,0
IL,Midwest,Information Technology,25,750,Research Scientist,66.5,81,3.9,1,0,0,0,0
MA,Northeast,Business Services,77,3000,Data Scientist,107.5,134,3.4,0,0,1,0,1
TX,Southwest,Business Services,10,125,Data Engineer,138.5,180,4.7,1,0,1,0,0
MD,Northeast,Biotech & Pharmaceuticals,59,350,Research Scientist,81.0,113,2.7,0,0,0,0,0
IL,Midwest,Insurance,95,3000,Data Engineer,58.5,73,3.8,1,0,1,0,1
IL,Midwest,Transportation & Logistics,15,3000,Data Engineer,107.5,140,3.4,0,0,0,0,0
MA,Northeast,Biotech & Pharmaceuticals,12,750,Research Scientist,120.5,157,3.8,0,0,0,0,0
CA,West,Information Technology,13,350,Data Scientist,63.5,87,3.9,1,0,1,0,0
KY,Southeast,Manufacturing,145,7500,Research Scientist,103.5,139,3.1,0,0,0,0,0
CA,West,Information Technology,39,7500,Data Scientist,107.0,142,4.1,1,0,0,0,1
VA,Southeast,Aerospace & Defense,0,7500,Data Engineer,105.5,137,3.7,1,0,1,0,0
CA,West,Insurance,48,750,Data Engineer,83.0,109,2.8,0,0,0,0,0
CA,West,Information Technology,13,3000,Data Engineer,162.0,203,4.0,1,0,1,1,1
CA,West,Information Technology,51,3000,Data Scientist,68.5,85,3.5,1,0,1,0,1
OH,Midwest,Insurance,42,10000,Data Scientist,110.5,140,3.4,0,0,0,0,1
IA,Midwest,Insurance,0,350,Data Engineer,115.5,148,3.7,1,0,0,0,1
CA,West,Biotech & Pharmaceuticals,26,750,Research Scientist,87.5,116,3.0,0,0,0,0,1
WA,West,"Oil, Gas, Energy & Utilities",55,3000,Data Scientist,80.5,101,3.8,0,0,0,0,0
IA,Midwest,Finance,28,750,Data Scientist,43.0,55,4.6,0,0,0,0,1
MA,Northeast,Biotech & Pharmaceuticals,17,350,Director,140.0,178,4.4,0,0,0,0,1
MA,Northeast,Biotech & Pharmaceuticals,171,10000,Director,172.0,208,4.0,0,0,0,1,0
MA,Northeast,Biotech & Pharmaceuticals,0,0,Research Scientist,120.0,130,0.0,0,0,0,0,0
PA,Northeast,Insurance,37,7500,Data Analyst,66.5,85,3.0,0,0,0,0,1
CA,West,Biotech & Pharmaceuticals,26,750,Research Scientist,100.0,129,3.0,0,0,0,0,1
CA,West,Business Services,14,125,Data Engineer,94.5,123,4.7,1,0,0,1,0
CA,West,Health Care,9,750,Data Scientist,221.5,272,4.2,1,0,0,0,1
WA,West,"Oil, Gas, Energy & Utilities",55,3000,Data Scientist,119.0,146,3.8,0,0,0,0,0
IL,Midwest,Business Services,25,350,Data Engineer,95.5,126,3.5,1,0,0,0,0
IL,Midwest,Insurance,108,10000,Data Scientist,194.5,239,3.3,1,0,0,0,0
NE,Midwest,Health Care,24,10000,Research Scientist,25.0,58,3.2,0,0,0,0,0
TN,Southeast,Finance,20,7500,Data Analyst,13.5,34,2.7,0,0,0,0,1
NJ,Northeast,Finance,47,3000,Data Analyst,173.0,228,3.3,1,0,0,0,1
TX,Southwest,Education,0,750,Data Scientist,105.5,129,3.7,1,0,0,1,0
TX,Southwest,Business Services,73,3000,Research Scientist,71.5,91,3.9,1,0,0,1,1
NC,Southeast,Manufacturing,145,7500,Research Scientist,74.0,101,3.1,0,0,0,0,1
AL,Southeast,Aerospace & Defense,98,10000,Data Engineer,62.5,76,3.7,0,0,0,0,1
NC,Southeast,Business Services,62,3000,Research Scientist,65.5,88,4.3,0,0,0,0,0
PA,Northeast,Retail,72,10000,Data Scientist,85.0,109,3.8,1,0,0,0,0
MD,Northeast,Biotech & Pharmaceuticals,107,10000,Data Scientist,147.5,182,3.9,1,0,0,0,1
NJ,Northeast,Business Services,31,3000,Data Scientist,161.5,199,3.6,1,0,0,1,1
VA,Southeast,Health Care,121,10000,Data Engineer,81.0,104,3.7,0,0,0,0,1
PA,Northeast,Biotech & Pharmaceuticals,17,3000,Data Analyst,72.5,93,2.1,0,0,0,0,1
CA,West,Information Technology,12,125,Data Engineer,139.0,181,3.9,1,0,0,1,1
CA,West,Information Technology,13,350,Data Engineer,136.5,173,3.9,0,0,0,0,0
NY,Northeast,Information Technology,12,350,Data Analyst,83.0,108,3.2,1,0,1,0,1
MA,Northeast,Business Services,29,125,Research Scientist,121.0,161,4.6,0,0,0,1,1
NY,Northeast,Travel & Tourism,18,3000,Data Scientist,74.5,96,3.8,1,0,1,0,0
CA,West,Retail,18,750,Data Analyst,85.5,110,2.2,0,0,0,0,1
NC,Southeast,Manufacturing,145,7500,Research Scientist,80.5,96,3.1,0,0,0,0,1
MA,Northeast,Business Services,29,125,Research Scientist,167.5,220,4.6,0,0,0,0,0
PA,Northeast,Education,36,750,Machine Learning Engineer,107.5,144,2.6,1,0,0,0,0
WA,West,Non-Profit,41,750,Data Analyst,44.5,57,3.4,0,0,0,1,1
MD,Northeast,Health Care,131,3000,Data Analyst,107.5,136,3.3,0,0,0,0,0
MA,Northeast,Biotech & Pharmaceuticals,0,0,Research Scientist,132.5,145,0.0,0,0,0,0,0
PA,Northeast,Health Care,26,350,Data Analyst,69.5,89,3.7,0,0,0,0,1
CA,West,Information Technology,50,10000,Data Engineer,98.5,129,3.5,1,0,1,1,0
MD,Northeast,Biotech & Pharmaceuticals,59,350,Research Scientist,80.5,113,2.7,0,0,0,0,1
MA,Northeast,Biotech & Pharmaceuticals,12,125,Research Scientist,37.0,94,3.8,0,0,0,0,1
MD,Northeast,Aerospace & Defense,98,10000,Research Scientist,99.0,124,3.7,1,0,0,0,0
MA,Northeast,Biotech & Pharmaceuticals,12,750,Manager,96.5,125,3.8,0,0,0,0,1
MA,Northeast,Insurance,108,10000,Data Scientist,53.0,67,3.3,0,0,0,0,0
CA,West,Information Technology,9,25,Data Engineer,103.0,135,2.7,0,0,1,1,0
CA,West,Finance,14,750,Data Scientist,139.5,172,3.8,0,0,0,0,0
WA,West,"Oil, Gas, Energy & Utilities",55,3000,Data Scientist,67.0,85,3.8,0,0,0,0,0
CT,Northeast,Information Technology,39,10000,Research Scientist,62.5,71,3.0,0,0,0,0,1
MD,Northeast,Biotech & Pharmaceuticals,107,10000,Research Scientist,92.0,123,3.9,0,0,0,0,0
NY,Northeast,Health Care,40,25,Data Analyst,66.0,85,3.6,0,0,0,0,1
CA,West,Health Care,7,750,Data Engineer,94.5,124,3.5,1,0,1,1,1
NJ,Northeast,Business Services,31,3000,Data Scientist,114.0,141,3.6,1,0,0,1,1
NY,Northeast,Education,8,125,Data Scientist,75.5,95,4.2,1,0,0,1,0
MO,Midwest,Education,0,25,Data Scientist,96.0,121,3.5,0,0,0,0,1
VA,Southeast,Aerospace & Defense,66,750,Machine Learning Engineer,87.0,112,4.0,1,0,0,0,0
MD,Northeast,Information Technology,14,350,Data Scientist,86.0,108,3.7,1,0,0,0,1
CA,West,Information Technology,8,25,Data Scientist,116.5,144,4.4,1,0,0,0,0
MA,Northeast,Biotech & Pharmaceuticals,10,3000,Research Scientist,154.5,200,3.5,1,0,0,0,1
CA,West,"Arts, Entertainment & Recreation",34,3000,Data Analyst,48.5,62,3.6,0,0,0,0,1
KS,Midwest,Finance,47,750,Machine Learning Engineer,87.0,113,3.7,1,0,0,0,1
TX,Southwest,Information Technology,18,750,Data Engineer,80.0,105,3.4,1,0,1,0,1
TX,Southwest,Health Care,43,3000,Research Scientist,21.5,50,4.0,0,0,0,1,0
CA,West,Aerospace & Defense,81,10000,Data Scientist,173.0,211,3.7,1,0,0,0,0
IL,Midwest,Manufacturing,0,750,Research Scientist,52.5,66,2.4,0,0,0,0,0
AZ,Southwest,Biotech & Pharmaceuticals,23,750,Data Engineer,68.5,80,3.5,1,0,1,0,0
MD,Northeast,Biotech & Pharmaceuticals,107,10000,Research Scientist,95.0,127,3.9,0,0,0,0,0
MA,Northeast,Government,62,7500,Data Scientist,69.5,89,3.2,1,0,0,0,1
OH,Midwest,Mining & Metals,135,350,Data Scientist,107.0,132,4.4,1,0,0,1,0
VA,Southeast,Information Technology,10,750,Data Scientist,112.0,139,3.9,1,0,1,0,0
DC,Northeast,Business Services,23,125,Data Scientist,96.5,121,3.4,1,0,0,0,0
CA,West,Biotech & Pharmaceuticals,0,350,Research Scientist,111.5,149,2.1,0,0,0,0,1
MA,Northeast,Biotech & Pharmaceuticals,239,10000,Data Engineer,154.5,196,3.7,0,0,1,1,1
NY,Northeast,Health Care,9,350,Data Scientist,95.0,121,3.4,1,0,1,1,0
NY,Northeast,Consumer Services,13,750,Data Scientist,97.5,124,4.0,1,0,0,0,1
IL,Midwest,Business Services,12,350,Data Scientist,128.5,160,4.4,1,0,0,1,1
PA,Northeast,Education,36,750,Machine Learning Engineer,124.0,167,2.6,0,0,0,0,0
CA,West,Information Technology,14,750,Data Scientist,194.0,238,3.2,0,0,0,1,1
CO,West,Health Care,54,750,Research Scientist,31.5,78,3.7,0,0,0,0,0
UT,West,Non-Profit,0,10000,Data Analyst,50.0,65,4.2,0,0,0,1,1
NY,Northeast,Business Services,15,350,Data Scientist,104.5,132,3.5,1,0,1,1,1
AZ,Southwest,Information Technology,51,350,Data Scientist,69.5,88,4.3,1,0,0,0,1
CA,West,Education,23,10000,Data Scientist,121.0,141,2.6,1,0,0,0,0
NC,Southeast,Information Technology,12,350,Data Engineer,85.5,112,4.2,1,0,0,0,1
CA,West,Media,23,3000,Data Engineer,113.0,147,3.1,1,0,1,1,1
CA,West,Manufacturing,15,350,Data Scientist,103.0,127,3.8,1,0,0,1,0
MA,Northeast,Biotech & Pharmaceuticals,190,10000,Research Scientist,90.5,119,3.9,0,0,0,1,0
CA,West,Information Technology,12,125,Data Scientist,153.0,187,4.3,1,0,1,0,1
VA,Southeast,Government,62,7500,Data Scientist,106.5,132,3.2,1,0,1,0,1
MI,Midwest,Information Technology,9,125,Data Scientist,130.0,140,5.0,0,0,0,0,1
CA,West,Business Services,32,3000,Data Analyst,123.5,157,3.3,0,0,0,0,1
NY,Northeast,Information Technology,21,3000,Research Scientist,86.5,110,4.3,0,0,0,1,1
CA,West,Health Care,24,750,Data Scientist,64.0,86,3.5,0,0,0,0,0
NY,Northeast,Information Technology,10,350,Data Analyst,47.0,62,3.9,0,0,1,0,0
CA,West,Information Technology,38,10000,Data Scientist,162.0,208,4.0,1,0,0,0,1
MD,Northeast,Biotech & Pharmaceuticals,107,10000,Data Scientist,140.0,173,3.9,1,0,0,0,1
WA,West,Information Technology,0,125,Data Scientist,89.0,113,3.4,0,0,0,0,0
TN,Southeast,Retail,62,10000,Data Engineer,98.0,127,3.0,1,0,0,0,0
NY,Northeast,Biotech & Pharmaceuticals,107,10000,Data Scientist,137.0,172,3.9,1,0,0,0,0
CO,West,Insurance,105,750,Data Engineer,99.0,124,4.0,1,0,0,1,0
WI,Midwest,Manufacturing,56,750,Research Scientist,54.0,68,3.3,0,0,0,0,0
TN,Southeast,Health Care,16,3000,Data Engineer,109.0,142,3.2,0,0,0,1,1
MD,Northeast,Information Technology,21,350,Data Engineer,109.0,142,3.4,0,0,0,1,0
MA,Northeast,Information Technology,36,3000,Data Scientist,139.5,171,4.4,1,0,0,0,0
IL,Midwest,Insurance,108,10000,Data Scientist,254.0,306,3.3,1,0,0,0,0
NY,Northeast,Information Technology,45,3000,Machine Learning Engineer,125.0,159,3.2,1,0,0,1,1
MA,Northeast,Biotech & Pharmaceuticals,24,10000,Data Scientist,106.5,133,3.8,1,0,0,0,0
DE,Northeast,Health Care,85,3000,Research Scientist,27.5,68,3.6,0,0,0,0,0
CA,West,Biotech & Pharmaceuticals,8,350,Research Scientist,73.0,97,2.9,0,0,0,0,0
MD,Northeast,Biotech & Pharmaceuticals,59,350,Research Scientist,81.0,113,2.7,0,0,0,0,1
PA,Northeast,Business Services,0,25,Data Scientist,128.5,161,3.2,1,0,1,1,0
NC,Southeast,Manufacturing,145,7500,Research Scientist,99.5,134,3.1,0,0,0,0,1
CA,West,Biotech & Pharmaceuticals,14,750,Research Scientist,92.0,125,4.0,0,0,0,1,1
OH,Midwest,Insurance,31,750,Data Analyst,45.5,59,3.3,0,0,0,0,0
IN,Midwest,Business Services,24,125,Data Engineer,122.5,158,4.5,1,0,1,1,0
FL,Southeast,Information Technology,43,3000,Data Analyst,37.5,48,3.0,0,0,0,0,1
MA,Northeast,Insurance,168,7500,Data Analyst,54.0,69,3.7,0,0,0,0,0
NY,Northeast,Travel & Tourism,18,3000,Data Analyst,53.5,71,3.8,1,0,0,0,1
IL,Midwest,Finance,52,7500,Data Scientist,140.0,173,3.9,1,0,0,0,1
VA,Southeast,Government,62,7500,Data Scientist,77.5,99,3.2,0,0,0,0,0
MA,Northeast,"Construction, Repair & Maintenance",44,25,Research Scientist,26.5,56,3.3,0,0,0,0,1
NC,Southeast,Manufacturing,145,7500,Research Scientist,117.5,155,3.1,0,0,0,0,1
CA,West,Biotech & Pharmaceuticals,14,750,Research Scientist,70.5,98,2.4,0,0,0,0,0
CA,West,Information Technology,9,125,Manager,61.5,78,4.8,0,0,0,0,1
GA,Southeast,Biotech & Pharmaceuticals,5,3000,Research Scientist,80.0,110,2.9,0,0,0,0,1
NY,Northeast,Biotech & Pharmaceuticals,5,3000,Research Scientist,70.0,96,2.9,0,0,0,0,1
MA,Northeast,Biotech & Pharmaceuticals,0,0,Research Scientist,120.0,140,0.0,0,0,0,0,1
MA,Northeast,Insurance,32,3000,Data Engineer,90.0,119,3.4,0,0,1,0,1
CA,West,Education,13,25,Machine Learning Engineer,111.0,142,4.1,1,0,0,1,1
CA,West,Information Technology,12,125,Data Analyst,138.5,178,3.9,1,0,0,0,0
MA,Northeast,Insurance,169,7500,Data Scientist,68.5,100,3.6,0,0,0,0,1
CA,West,Information Technology,9,350,Data Engineer,87.5,113,3.9,1,0,0,1,1
PA,Northeast,Biotech & Pharmaceuticals,3,10000,Data Scientist,111.5,137,3.6,0,0,0,0,0
MA,Northeast,Biotech & Pharmaceuticals,190,10000,Research Scientist,84.5,111,3.9,0,0,0,1,0
TN,Southeast,Information Technology,14,3000,Data Engineer,102.5,133,4.4,1,0,1,1,0
PA,Northeast,Education,36,750,Research Scientist,73.5,91,2.6,0,0,0,0,1
PA,Northeast,Business Services,0,25,Data Scientist,127.5,160,3.2,0,0,0,0,1
OH,Midwest,Government,53,750,Research Scientist,93.5,126,3.6,1,0,0,0,0
